epoch,accuracy,loss,val_accuracy,val_loss
0,0.53125,1.65013587474823,0.875,0.2456439882516861
1,0.7083333,0.8593805432319641,0.875,0.3133673667907715
2,0.75,0.7508425911267599,0.875,0.3980378806591034
3,0.8229167,0.5521237055460612,0.875,0.28335773944854736
4,0.7916667,0.49470798174540204,0.875,0.21528227627277374
5,0.7708333,0.6042808294296265,0.875,0.22955095767974854
6,0.78125,0.5145447750886282,0.875,0.24432499706745148
7,0.7916667,0.43623389800389606,0.8333333134651184,0.28456568717956543
8,0.8229167,0.3830807606379191,0.875,0.2521229088306427
9,0.7916667,0.3970765968163808,0.875,0.24247099459171295
